InvoiceID,LinkedAccountID,PayerAccountID,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,UsageStartDate,UsageEndDate,ProductCode,ProductName,UsageType,Operation,AvailabilityZone,ResourceID,ItemDescription,CurrencyCode,UsageQuantity,BlendedRate,BlendedCost,UnblendedRate,UnblendedCost,Tags
100001,111111111111,222222222222,LineItem,RI-001,2025-10-01,2025-10-31,2025-10-01T00:00:00,2025-10-01T23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:t2.micro,RunInstances,us-east-1,i-1234567890abcdef0,EC2 t2.micro instance usage,USD,24,0.0116,0.2784,0.0116,0.2784,{"Environment":"Prod"}
100002,111111111111,222222222222,LineItem,RI-002,2025-10-01,2025-10-31,2025-10-01T00:00:00,2025-10-01T23:59:59,AmazonS3,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,s3://bucket-001,Standard S3 storage,USD,50,0.023,1.15,0.023,1.15,{"Environment":"Prod"}
100003,111111111111,222222222222,LineItem,RI-003,2025-10-01,2025-10-31,2025-10-02T00:00:00,2025-10-02T23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:t2.medium,RunInstances,us-east-1,i-0abcdef1234567890,EC2 t2.medium instance usage,USD,48,0.0464,2.2272,0.0464,2.2272,{"Environment":"Prod"}
100004,111111111111,222222222222,LineItem,RI-004,2025-10-01,2025-10-31,2025-10-02T00:00:00,2025-10-02T23:59:59,AmazonRDS,Amazon Relational Database Service,InstanceUsage:db.t3.micro,RunInstances,us-east-1,db-abcdef123456,db.t3.micro usage,USD,24,0.017,0.408,0.017,0.408,{"Environment":"Prod"}
100005,111111111111,222222222222,LineItem,RI-005,2025-10-01,2025-10-31,2025-10-03T00:00:00,2025-10-03T23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:m5.large,RunInstances,us-east-1,i-abcdef1234567890,EC2 m5.large instance usage,USD,72,0.096,6.912,0.096,6.912,{"Environment":"Prod"}
100006,111111111111,222222222222,LineItem,RI-006,2025-10-01,2025-10-31,2025-10-03T00:00:00,2025-10-03T23:59:59,AmazonS3,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-east-1,s3://bucket-002,Standard S3 storage,USD,55,0.023,1.265,0.023,1.265,{"Environment":"Prod"}
100007,111111111111,222222222222,LineItem,RI-007,2025-10-01,2025-10-31,2025-10-04T00:00:00,2025-10-04T23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:t3.large,RunInstances,us-east-1,i-0fedcba9876543210,EC2 t3.large instance usage,USD,60,0.083,4.98,0.083,4.98,{"Environment":"Prod"}
100008,111111111111,222222222222,LineItem,RI-008,2025-10-01,2025-10-31,2025-10-04T00:00:00,2025-10-04T23:59:59,AmazonRDS,Amazon Relational Database Service,InstanceUsage:db.t3.medium,RunInstances,us-east-1,db-fedcba987654,db.t3.medium usage,USD,48,0.034,1.632,0.034,1.632,{"Environment":"Prod"}
100009,111111111111,222222222222,LineItem,RI-009,2025-10-01,2025-10-31,2025-10-05T00:00:00,2025-10-05T23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:c5.large,RunInstances,us-west-2,i-1122334455667788,EC2 c5.large instance usage,USD,70,0.085,5.95,0.085,5.95,{"Environment":"Prod"}
100010,111111111111,222222222222,LineItem,RI-010,2025-10-01,2025-10-31,2025-10-05T00:00:00,2025-10-05T23:59:59,AmazonS3,Amazon Simple Storage Service,TimedStorage-ByteHrs,StandardStorage,us-west-2,s3://bucket-003,Standard S3 storage,USD,60,0.023,1.38,0.023,1.38,{"Environment":"Prod"}
